
Output:
                    token                             lexeme
------------------------------------------------------------
                   keyword                            integer
                   integer                            2
                   identifier                         value
                   operator                           =
                   integer                            100
                   separator                          ;
                   keyword                            integer
                   identifier                         num
                   operator                           !
                   operator                           =
                   integer                            50
                   separator                          ;
                   keyword                            integer
                   identifier                         x
                   operator                           =
                   unknown                            4..5
                   separator                          ;
                   keyword                            integer
                   identifier                         y
                   operator                           =
                   unknown                            .
                   separator                          ;
                   separator                          $$
                   keyword                            if
                   identifier                         x
                   operator                           =
                   operator                           >
                   integer                            10
                   keyword                            print
                   separator                          (
                   identifier                         x
                   separator                          ;
                   separator                          $$
                   keyword                            integer
                   identifier                         val
                   operator                           =
                   operator                           -
                   operator                           +
                   operator                           -
                   integer                            5
                   separator                          ;
                   keyword                            integer
                   identifier                         missingop
                   operator                           =
                   integer                            9
                   integer                            7
                   separator                          ;
                   separator                          $$
